SAMPLE_ID,URL,TEXT,HEIGHT,WIDTH,LICENSE,NSFW,similarity
1581282014547.0,http://media.rightmove.co.uk/148k/147518/58718876/147518_SWO160154_EPCGRAPH_01_0000_max_135x100.png,View EPC Rating Graph for this property,109.0,100.0,?,UNSURE,0.312813401222229
1060015003169.0,https://thumbs.ebaystatic.com/images/g/DYEAAOSwMHdXR0Vh/s-l225.jpg,Silverline Air Framing Nailer 90mm 10 - 12 Gauge di alta qualità dell' aria Nailer,225.0,225.0,?,UNLIKELY,0.3124845325946808
3372497001913.0,https://farm1.staticflickr.com/784/40182677504_27d67600f3_o.jpg,Anhui Mountains,800.0,514.0,?,UNLIKELY,0.3165116608142853
382020002775.0,https://t2.ftcdn.net/jpg/00/58/35/35/240_F_58353522_3plS29kylx1KZQ0lU6pYHuCAhUINvCSp.jpg,Acute pain in a woman knee,257.0,240.0,?,UNLIKELY,0.3442777097225189
2928456001411.0,https://findingblanche.files.wordpress.com/2013/07/photo4-1.jpg?w=764&,Venison – Sour Cherries – Cream – Potato,764.0,577.0,?,NSFW,0.30439671874046326
2179119014444.0,https://i.pinimg.com/236x/03/38/05/0338055833ee2afb2826fd3b7fd1dabc.jpg,Essentials Barnwood 70-inch TV Media Stand,236.0,236.0,?,UNLIKELY,0.33279865980148315
147688009067.0,http://d25hqtnqp5nl24.cloudfront.net/images/products/9/LN_364314_BP_9.jpg,Actimel vanilla - 8x100g Brand Price Match - Checked Tesco.com 16/04/2014,140.0,140.0,?,UNLIKELY,0.4013020098209381
172745002348.0,http://cdn.pastemagazine.com/www/articles/2011/02/04/benaffleck.jpg?635339351410282708,Ben Affleck Could Be Latest Addition To <em>The Great Gatsby</em> Cast,320.0,320.0,?,UNLIKELY,0.35330262780189514
3138980000177.0,https://chambermaster.blob.core.windows.net/images/members/653/1571/MemLogoSearch_MNDOT-new.jpg,Minnesota Department of Transportation,200.0,112.0,?,UNLIKELY,0.3416397273540497
4085120021446.0,https://cdn2.mecum.com/auctions/fl0121/fl0121-443116/thumbnails/dsc0164-1609793793911.jpg?1609799199000,1941 Cadillac Series 60 Fleetwood - 4 - Thumbnail,192.0,108.0,?,UNLIKELY,0.30305901169776917
6330210699.0,http://images.fineartamerica.com/images-greeting-cards-real/greeting-card-clapton-live-david-lloyd-glover.jpg,The Bluesbreakers Greeting Cards - Clapton Live Greeting Card by David Lloyd Glover,175.0,125.0,,UNLIKELY,0.37275394797325134
3643668005576.0,https://buidln.clipdealer.com/001/841/344//search/1.jpg,Vibrant Colorful Daisy Gerbera Flowers,133.0,200.0,?,UNLIKELY,0.3488732874393463
3003449005706.0,https://i.ebayimg.com/thumbs/images/g/Q4EAAOSwtOlboRw6/s-l200.jpg,60 Pcs Table Decorations Supplies Moana Themed Party Tropical Hawaiian Leaves,200.0,200.0,?,UNLIKELY,0.35663866996765137
67366007169.0,http://rlv.zcache.co.uk/surfer_happy_twelfth_birthday_card-r4694f3338dbb42c88522a5f9868c6d75_xvuat_8byvr_324.jpg,Surfer Happy Twelfth Birthday Card,324.0,324.0,?,UNLIKELY,0.40045371651649475
1753304007728.0,http://media.cameracanada.com/CC/productimage/Canon/Canon_5D_Mark_Iv_b.jpg,EOS 5D Mark IV body with free bag and battery,500.0,300.0,?,UNLIKELY,0.30737510323524475
166555002708.0,http://static6.depositphotos.com/1000292/539/i/170/depositphotos_5395833-Beautiful-happy-smiling-woman-in-kitchen-interior..jpg,Beautiful happy smiling woman in kitchen interior. — Stock Photo,169.0,112.0,?,UNLIKELY,0.32023346424102783
1256772017597.0,https://cdn.influenster.com/media/hub/post/image/Artboard_WK25MC0.jpeg,"Incoming: New Products from YSL, Maybelline, and more!",668.0,360.0,?,UNSURE,0.3105768859386444
968481052001.0,http://sc01.alicdn.com/kf/HTB1E7fDKFXXXXbwXXXXq6xXFXXXq/4x8-galvanized-corrugated-steel-sheet.jpg_200x200.jpg,4x8 galvanized corrugated steel sheet,200.0,200.0,?,UNLIKELY,0.349141001701355
2259601004087.0,http://tse2.mm.bing.net/th?id=OIP.4NnZIvhZvhLcIimiY9G73QHaFj,one bedroom apartments in san diego san diego 1 bedroom apartments marceladick com,474.0,355.0,?,UNLIKELY,0.30491265654563904
3422676008376.0,https://crystal-cdn4.crystalcommerce.com/photos/689979/medium/LmLcAhd6yRv6jYQu.jpg,Anurid Brushhopper - Foil on Channel Fireball,169.0,240.0,?,UNLIKELY,0.3338284492492676
1267734014100.0,https://cdn3.mecum.com/auctions/ha0413/ha0413-154735/consign/ha0413-154735_consign.jpg?1363216046000,1990 Chevrolet Corvette ZR1 Image,416.0,234.0,?,UNLIKELY,0.311244398355484
